SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,June-September,Oct-Dec,Latitude,Longitude
Madhya Maharashtra,1955,3.2,0,6.8,12.2,25.8,140.9,149.6,254.3,218.9,159,10.4,0,981.1,3.2,44.8,763.7,169.4,19.14486043,74.77204737
Madhya Maharashtra,1956,1.5,0.2,1.1,11.3,91.2,111,360.5,252,165.8,148,90.1,1.1,1233.8,1.7,103.6,889.3,239.2,19.14486043,74.77204737
Madhya Maharashtra,1957,0.1,0,4.8,20.9,36.9,177.8,196.4,202.2,98.7,85.1,26.8,0.1,849.8,0.1,62.6,675.1,112,19.14486043,74.77204737
Madhya Maharashtra,1958,1.6,0,5.4,23.6,32.9,101.9,393.3,296.6,112.1,57.4,29.2,0.1,1054.1,1.6,61.9,903.9,86.7,19.14486043,74.77204737
Madhya Maharashtra,1959,2.4,0,0,16.8,39.3,174.7,344.3,199,202.7,84.7,54.9,0.1,1118.9,2.4,56.1,920.7,139.7,19.14486043,74.77204737
Madhya Maharashtra,1960,3.6,0,3,5.1,61.3,146.4,235,138,229,44.9,18.8,0.8,885.9,3.6,69.4,748.4,64.5,19.14486043,74.77204737
Madhya Maharashtra,1961,0.3,0.1,0.5,9.8,104.2,163.5,411.9,135,104.8,128,10,2.5,1070.6,0.4,114.5,815.2,140.5,19.14486043,74.77204737
Madhya Maharashtra,1962,0.2,0.1,6.7,12.9,57.2,46.8,287.5,164,199.9,51.9,23,48.8,899,0.3,76.8,698.2,123.7,19.14486043,74.77204737
Madhya Maharashtra,1963,0.8,4.3,14,12,23.3,138.6,252.3,268.7,72.7,93.5,19.1,0.6,899.9,5.1,49.3,732.3,113.2,19.14486043,74.77204737
Madhya Maharashtra,1964,0,0,4.1,6.2,7,139.8,238.9,242.3,223.1,60,23.3,0.9,945.6,0,17.3,844.1,84.2,19.14486043,74.77204737
Madhya Maharashtra,1965,5.8,0.2,0.3,10.2,12.3,82.9,380.7,200.3,54.8,10,4.6,28.5,790.6,6,22.8,718.7,43.1,19.14486043,74.77204737
Madhya Maharashtra,1966,1.9,0.5,1.4,2.1,81.5,83.8,315,94,149,14.5,82.6,11.2,837.5,2.4,85,641.8,108.3,19.14486043,74.77204737
Madhya Maharashtra,1967,0,0.1,4.7,13.3,7.8,130.4,367.4,139,146.7,43.1,2.1,58.6,913.2,0.1,25.8,783.5,103.8,19.14486043,74.77204737
Madhya Maharashtra,1968,1.6,3.6,9.4,11.2,2.5,95.4,238.9,213.3,172.1,60.6,15.1,0.3,824,5.2,23.1,719.7,76,19.14486043,74.77204737
Madhya Maharashtra,1969,0.2,0,1.4,5.8,4,140.1,307.1,248.3,234,20.1,22.3,0.9,984.2,0.2,11.2,929.5,43.3,19.14486043,74.77204737
Madhya Maharashtra,1970,1,0,0.6,17.9,39.1,195.4,200.1,254.9,161.3,70.9,0,0,941.2,1,57.6,811.7,70.9,19.14486043,74.77204737
Madhya Maharashtra,1971,0,0,0.1,3.8,43.3,155.6,124.9,204,185.6,56,0,0,773.3,0,47.2,670.1,56,19.14486043,74.77204737
Madhya Maharashtra,1972,0,0.2,0,4,13.8,90.4,195.1,99.3,88.1,7.3,21.6,0.1,519.9,0.2,17.8,472.9,29,19.14486043,74.77204737
Madhya Maharashtra,1973,0,3,1.8,3.2,10.1,124.7,312,243.9,172.8,104.8,3.9,0.4,980.6,3,15.1,853.4,109.1,19.14486043,74.77204737
Madhya Maharashtra,1974,0,0.1,2.5,14.6,60.9,77.5,217.9,184.7,201.5,152,0.1,0,911.8,0.1,78,681.6,152.1,19.14486043,74.77204737
Madhya Maharashtra,1975,0.4,1.1,0.1,1,15.4,165.6,228,223.2,242.8,158.3,4.8,0,1040.7,1.5,16.5,859.6,163.1,19.14486043,74.77204737
Madhya Maharashtra,1976,0.1,0,6,3.4,3.3,283.6,315.6,240.8,87.7,14.3,68.9,2.2,1025.9,0.1,12.7,927.7,85.4,19.14486043,74.77204737
Madhya Maharashtra,1977,0,0.1,7.1,9.9,31.3,209,262.5,150.4,94.6,64.4,112.1,5.7,947.1,0.1,48.3,716.5,182.2,19.14486043,74.77204737
Madhya Maharashtra,1978,0.7,10.8,4.6,22.2,33.1,174.2,179.6,211.8,124.1,57,63.5,2.1,883.7,11.5,59.9,689.7,122.6,19.14486043,74.77204737
Madhya Maharashtra,1979,3.5,1.8,5.3,1,7.1,129.7,194.5,299,249.9,46,88.4,0.5,1026.7,5.3,13.4,873.1,134.9,19.14486043,74.77204737
Madhya Maharashtra,1980,0,0,1.5,16.1,8.6,279.2,197.4,286.6,89.2,14.7,29.8,16.4,939.5,0,26.2,852.4,60.9,19.14486043,74.77204737
Madhya Maharashtra,1981,10.5,0,3.7,6.8,7.7,135.9,248.9,188.6,253.7,56.8,11,6.2,929.8,10.5,18.2,827.1,74,19.14486043,74.77204737
Madhya Maharashtra,1982,2.1,0.2,0.2,6.3,33.8,114.6,187.7,186.6,119.5,55.2,45.8,0,752,2.3,40.3,608.4,101,19.14486043,74.77204737
Madhya Maharashtra,1983,0.1,1.4,0,0,2.8,125.3,218.1,259.4,263,43.2,2.5,2.8,918.6,1.5,2.8,865.8,48.5,19.14486043,74.77204737
Madhya Maharashtra,1984,0.6,11.2,3.7,4.6,0.6,109.6,260.8,140,133.2,109.1,4.7,1.7,779.8,11.8,8.9,643.6,115.5,19.14486043,74.77204737
Madhya Maharashtra,1985,2.6,0.2,2.3,9.1,12.3,118.7,189.5,145.1,63.5,107.3,5.4,0,656,2.8,23.7,516.8,112.7,19.14486043,74.77204737
Madhya Maharashtra,1986,1.6,2.7,0.3,2.4,8.6,200.8,126.1,157.9,101,8.9,19.4,14.6,644.3,4.3,11.3,585.8,42.9,19.14486043,74.77204737
Madhya Maharashtra,1987,1.7,3.9,2.5,4,36.6,130.3,166.7,226.9,63.5,98.8,38,34.6,807.5,5.6,43.1,587.4,171.4,19.14486043,74.77204737
Madhya Maharashtra,1988,0,0.1,0.1,18.8,7.6,111,314.1,165.7,324.8,27.5,1.9,4.9,976.5,0.1,26.5,915.6,34.3,19.14486043,74.77204737
Madhya Maharashtra,1989,0,0,16.3,3.3,11.8,153.5,271.9,152.1,181.6,22.9,1.4,1.7,816.5,0,31.4,759.1,26,19.14486043,74.77204737
Madhya Maharashtra,1990,2.6,0.2,0,0.2,78.2,150.5,227.3,294.6,94.9,154.9,17.2,1.9,1022.5,2.8,78.4,767.3,174,19.14486043,74.77204737
Madhya Maharashtra,1991,0,0.1,0.3,12.2,19.2,293.8,318.1,143.9,67.3,21,4.7,0.1,880.7,0.1,31.7,823.1,25.8,19.14486043,74.77204737
Madhya Maharashtra,1992,0,0,0,2.1,5.1,146.9,190.6,248.6,132.1,55.6,10.1,0,791.1,0,7.2,718.2,65.7,19.14486043,74.77204737
Madhya Maharashtra,1993,0,0.1,3,5.7,11.5,147.6,289.2,162.4,162.6,192.8,10.7,34.3,1019.9,0.1,20.2,761.8,237.8,19.14486043,74.77204737
Madhya Maharashtra,1994,3.1,0.1,0.6,21.8,23.8,253.2,332.9,188.4,118.9,66.2,12.6,0,1021.6,3.2,46.2,893.4,78.8,19.14486043,74.77204737
Madhya Maharashtra,1995,20,0.2,5.4,6.7,24,63.6,253.1,82.7,194.3,121.5,4.9,0,776.4,20.2,36.1,593.7,126.4,19.14486043,74.77204737
Madhya Maharashtra,1996,0.1,0,0.1,4.1,5.7,162.3,281,184.1,161.4,171.3,4.8,0.4,975.3,0.1,9.9,788.8,176.5,19.14486043,74.77204737
Madhya Maharashtra,1997,3.3,0,2.4,15.3,6.5,180.2,239.9,295.5,91.7,57.7,68.8,39.6,1000.9,3.3,24.2,807.3,166.1,19.14486043,74.77204737
Madhya Maharashtra,1998,0.2,0,0.6,2.5,18.4,147.1,264.1,226.4,257.2,162.5,22.1,0,1101.1,0.2,21.5,894.8,184.6,19.14486043,74.77204737
Madhya Maharashtra,1999,0,6.7,0,0.1,39.2,225.3,262.5,85.4,169,177.6,0,0,965.8,6.7,39.3,742.2,177.6,19.14486043,74.77204737
Madhya Maharashtra,2000,0.4,1.1,0.2,1.7,18.5,173,198.7,159.6,87,56.5,2.7,2.1,701.5,1.5,20.4,618.3,61.3,19.14486043,74.77204737
Madhya Maharashtra,2001,4.4,0,0.3,4.7,8.4,157.9,179.3,160.9,137.3,125.5,5.7,0.5,784.9,4.4,13.4,635.4,131.7,19.14486043,74.77204737
Madhya Maharashtra,2002,1.7,3.1,1,13,14.4,251.9,95.6,221.5,95.8,36.3,5.9,0,740.2,4.8,28.4,664.8,42.2,19.14486043,74.77204737
Madhya Maharashtra,2003,0.8,2.2,1.5,5.7,15.1,210.8,208.7,178.4,116.2,29.5,3.5,0.1,772.5,3,22.3,714.1,33.1,19.14486043,74.77204737
Madhya Maharashtra,2004,0.1,0.1,0,4.7,49,215.9,174.2,354.1,181.2,42.1,8,0.1,1029.5,0.2,53.7,925.4,50.2,19.14486043,74.77204737
Madhya Maharashtra,2005,3.6,0.4,1.6,11.1,7.8,240.5,361.2,256.1,276.4,62.7,0,0,1221.4,4,20.5,1134.2,62.7,19.14486043,74.77204737
Madhya Maharashtra,2006,0,0,7.1,0.2,42.3,205.3,416.4,421.7,217,60.1,25.5,0,1395.6,0,49.6,1260.4,85.6,19.14486043,74.77204737
Madhya Maharashtra,2007,1.3,0.4,0,2.1,5.5,266.9,293.5,274.2,189.2,3.4,3.9,0,1040.4,1.7,7.6,1023.8,7.3,19.14486043,74.77204737
Madhya Maharashtra,2008,0,0,18.1,0.6,1.1,107.9,157.9,257.6,312.4,56.6,3.7,0.9,916.8,0,19.8,835.8,61.2,19.14486043,74.77204737
Madhya Maharashtra,2009,0,1.7,0.8,0.4,7.7,68.9,329.8,148.2,162.6,96.2,121.3,4.3,941.9,1.7,8.9,709.5,221.8,19.14486043,74.77204737
Madhya Maharashtra,2010,2.9,0.1,0.9,2.3,5.4,185.6,280.9,233.2,165.6,77.1,73.4,0.2,1027.6,3,8.6,865.3,150.7,19.14486043,74.77204737
Madhya Maharashtra,2011,0,0.3,0.3,5,2.9,133.3,261.4,238.1,148.4,62.8,0,0,852.5,0.3,8.2,781.2,62.8,19.14486043,74.77204737
Madhya Maharashtra,2012,0,0,0,3,1.4,67.9,203,187.8,129.5,95.2,2.2,0,690,0,4.4,588.2,97.4,19.14486043,74.77204737
Madhya Maharashtra,2013,0.1,5.3,0.8,5.7,6,212.4,311.8,147,210.3,57.8,4,1.3,962.5,5.4,12.5,881.5,63.1,19.14486043,74.77204737
Madhya Maharashtra,2014,3.1,6.2,24.4,7.5,29.8,44,277.9,240.3,120.4,38.5,32.8,13.1,838,9.3,61.7,682.6,84.4,19.14486043,74.77204737
Madhya Maharashtra,2015,1.4,0.8,41.2,9.6,24.4,177,111.7,67.2,146.6,48.3,16.2,0.1,644.5,2.2,75.2,502.5,64.6,19.14486043,74.77204737
Madhya Maharashtra,2016,0,0.7,7.1,1.4,7.7,100.7,319.6,232.7,171.9,62.4,1.1,0.9,906.2,0.7,16.2,824.9,64.4,19.14486043,74.77204737
Madhya Maharashtra,2017,0,0,0.4,0.8,18,189.2,280.9,192,190.1,112.8,5,5.1,994.3,0,19.2,852.2,122.9,19.14486043,74.77204737
Matathwada,1901,15.8,3.3,32.1,48.5,26.5,193.1,184.1,249.8,74,81.6,0,0,908.8,19.1,107.1,701,81.6,19.1033404,77.24397107
Matathwada,1902,1.3,0,0.4,7.2,0.8,52.4,120.9,85.2,273.3,61.3,84.4,56.9,744.1,1.3,8.4,531.8,202.6,19.1033404,77.24397107
Matathwada,1903,2.6,0.8,0,1.7,58.3,104.4,264.2,281.9,173.3,139.9,0.3,5.3,1032.7,3.4,60,823.8,145.5,19.1033404,77.24397107
Matathwada,1904,0,0.9,12.1,0.3,7.2,79.2,118.4,57.3,339,76.2,0,0,690.6,0.9,19.6,593.9,76.2,19.1033404,77.24397107
Matathwada,1905,1.3,2,0,6.6,4.8,84.6,94.8,137.6,157.8,15.4,0.9,0,505.8,3.3,11.4,474.8,16.3,19.1033404,77.24397107
Matathwada,1906,19.8,0,0.1,0,0.2,220.6,254.9,156.9,82.1,19.8,3.9,12.4,770.7,19.8,0.3,714.5,36.1,19.1033404,77.24397107
Matathwada,1907,1,6.6,1.1,61.3,0,90.4,198.9,155.2,34.7,5,0,3.7,557.9,7.6,62.4,479.2,8.7,19.1033404,77.24397107
Matathwada,1908,0,0.8,13,2.9,1.6,100.7,124.4,176.8,261.9,0.4,0,0,682.5,0.8,17.5,663.8,0.4,19.1033404,77.24397107
Matathwada,1909,5.5,1.6,8.4,4.2,22.2,217.2,194.3,173.8,223.5,21.4,0.4,20.3,892.8,7.1,34.8,808.8,42.1,19.1033404,77.24397107
Matathwada,1910,0,0,0.9,0,3.1,202.1,166.7,188.5,467.9,59.7,45.3,0,1134.2,0,4,1025.2,105,19.1033404,77.24397107
Matathwada,1911,6.4,0,0,0,3,85.5,231.9,175,68.6,0.2,41.8,0,612.4,6.4,3,561,42,19.1033404,77.24397107
Matathwada,1912,0,13.7,0,6.5,9.5,62.9,177.3,145.9,34.6,22.8,15.2,0,488.4,13.7,16,420.7,38,19.1033404,77.24397107
Matathwada,1913,0,3.4,0,15.1,38.6,173,245.9,80.1,63.7,21,0,15.9,656.7,3.4,53.7,562.7,36.9,19.1033404,77.24397107
Matathwada,1914,0,10.4,5.2,0.9,16.3,297,177.2,151.7,258.3,23.9,20.9,27.3,989.1,10.4,22.4,884.2,72.1,19.1033404,77.24397107
Matathwada,1915,28,2.6,55.9,18.9,11.5,207.8,146.8,96.1,299.1,99.7,10.1,25.1,1001.6,30.6,86.3,749.8,134.9,19.1033404,77.24397107
Matathwada,1916,0,5,3,1.7,43.6,149.8,374.7,139.7,305.1,115,40.3,0,1177.9,5,48.3,969.3,155.3,19.1033404,77.24397107
Matathwada,1917,1.7,63.5,10.8,7,17.1,176.8,144.6,259.3,348.7,101.2,37.5,0,1168.2,65.2,34.9,929.4,138.7,19.1033404,77.24397107
Matathwada,1918,0.7,0,0.2,0.6,121.4,93.5,65.9,78.6,89.9,4.7,9.8,20.7,486,0.7,122.2,327.9,35.2,19.1033404,77.24397107
Matathwada,1919,11.9,0.9,0.3,5.1,11.2,149.7,119.9,85.3,228,28,21.4,1.1,662.8,12.8,16.6,582.9,50.5,19.1033404,77.24397107
Matathwada,1920,27,0,0.3,3.1,2.1,60.4,50.5,86.1,127.7,3.8,0,0,361,27,5.5,324.7,3.8,19.1033404,77.24397107
Matathwada,1921,2.1,0,0,2.4,0,151,174.8,70.2,113.4,41.9,6.6,0,562.4,2.1,2.4,509.4,48.5,19.1033404,77.24397107
Matathwada,1922,54.4,1.9,0,2.8,19.3,220.3,119.5,39.4,206.4,47.8,122.7,1.4,835.9,56.3,22.1,585.6,171.9,19.1033404,77.24397107
Matathwada,1923,4,0.5,55.9,9.9,0.6,20.5,300.4,72,300.1,0.2,0,0.8,764.9,4.5,66.4,693,1,19.1033404,77.24397107
Matathwada,1924,3.2,0,7.7,8.1,0.2,49.2,130.4,180.7,200.2,59.8,9.8,13.4,662.7,3.2,16,560.5,83,19.1033404,77.24397107
Matathwada,1925,0,0,0,0,30.1,130.3,84.3,173.6,73.4,38.1,75.1,0,604.9,0,30.1,461.6,113.2,19.1033404,77.24397107
Matathwada,1926,70.4,0,0,1.5,17.6,85,126.3,254.1,147.6,0,11.2,1.8,715.5,70.4,19.1,613,13,19.1033404,77.24397107
Matathwada,1927,0,3.2,10.2,7.5,0,173,143.5,67,175.7,37.2,126.9,0.4,744.6,3.2,17.7,559.2,164.5,19.1033404,77.24397107
Matathwada,1928,0,28.3,9.5,2,0,160.5,141.7,135,288.1,58.8,0,1.7,825.6,28.3,11.5,725.3,60.5,19.1033404,77.24397107
Matathwada,1929,0,31.6,0.9,21.6,1.7,165.8,104.7,48.2,179,51.7,0,4.2,609.4,31.6,24.2,497.7,55.9,19.1033404,77.24397107
Matathwada,1930,0,1,1.7,13,4.1,132.2,49.6,75.7,281,64.6,17.1,0.3,640.3,1,18.8,538.5,82,19.1033404,77.24397107
Matathwada,1931,0,0,3.8,4.4,7.7,134.5,295.1,142.8,242.1,175.1,70.1,13.1,1088.7,0,15.9,814.5,258.3,19.1033404,77.24397107
Matathwada,1932,0,2.5,7.7,7.7,20.1,111.5,276.6,161.3,161.6,54.6,34.3,6.3,844.2,2.5,35.5,711,95.2,19.1033404,77.24397107
Matathwada,1933,9.1,7.6,10.1,13.5,66.7,206.6,214.7,180.4,340.8,30.7,17.5,25.2,1122.9,16.7,90.3,942.5,73.4,19.1033404,77.24397107
Matathwada,1934,6,0,0,11.9,1.3,95.8,248.6,256.8,159.9,16.8,79.5,0,876.6,6,13.2,761.1,96.3,19.1033404,77.24397107
Matathwada,1935,7.2,0.5,0,14,0.4,191.1,197.4,196.6,223.5,84.1,5.8,1.4,922,7.7,14.4,808.6,91.3,19.1033404,77.24397107
Matathwada,1936,0,26.6,7.8,10.7,33.3,137.5,92.2,119.3,145.1,9.1,139.9,6.2,727.7,26.6,51.8,494.1,155.2,19.1033404,77.24397107
Matathwada,1937,0,13.2,11.3,43.8,1.1,75.8,277.3,35.8,152.8,106.4,0.3,20.5,738.3,13.2,56.2,541.7,127.2,19.1033404,77.24397107
Matathwada,1938,0,8.8,17.7,15.6,27.3,253.3,260.1,146.5,256.1,86.8,0.2,0.3,1072.7,8.8,60.6,916,87.3,19.1033404,77.24397107
Matathwada,1939,0.2,0,3.7,9.1,0.2,98.2,163.6,188.6,73.8,25.3,16.5,1,580.2,0.2,13,524.2,42.8,19.1033404,77.24397107
Matathwada,1940,0,0.4,0,11.2,13.4,178.8,176.9,239.5,139,63.1,31.5,1.8,855.6,0.4,24.6,734.2,96.4,19.1033404,77.24397107
Matathwada,1941,9.4,9.3,1.1,0.5,0,50.2,114.9,150.4,190.6,14.5,0,0,540.9,18.7,1.6,506.1,14.5,19.1033404,77.24397107
Matathwada,1942,0,24.3,0,6.6,3.9,221,227.2,311.4,124.9,11.1,0,72.6,1003,24.3,10.5,884.5,83.7,19.1033404,77.24397107
Matathwada,1943,7.1,0.1,1.5,0.2,47.6,187.4,105.8,62.3,282.9,156.5,1,0,852.4,7.2,49.3,638.4,157.5,19.1033404,77.24397107
Matathwada,1944,0.4,12.2,32.6,0,5.2,85.1,230.7,116,167,94.5,15.2,0,758.9,12.6,37.8,598.8,109.7,19.1033404,77.24397107
Matathwada,1945,1.8,0,0,5,0.3,129.6,140.2,154.4,161.9,27.7,1.3,0,622.2,1.8,5.3,586.1,29,19.1033404,77.24397107
Matathwada,1946,0,9.7,1.9,21.3,16.3,165.6,212.4,114.5,180.1,6.8,98.2,21.9,848.7,9.7,39.5,672.6,126.9,19.1033404,77.24397107
Matathwada,1947,28,22,7.7,11.5,2,65.7,164.5,276,253.3,13.6,2.1,8.6,855,50,21.2,759.5,24.3,19.1033404,77.24397107
Matathwada,1948,7.9,2.2,4.1,3.3,1.9,179.4,218.7,110.1,221.6,21.1,176.1,0,946.4,10.1,9.3,729.8,197.2,19.1033404,77.24397107
Matathwada,1949,2.9,0.5,0.1,0.7,35.2,188.9,189.5,89.8,369.1,32.3,5.2,0,914.2,3.4,36,837.3,37.5,19.1033404,77.24397107
Matathwada,1950,0,11.9,4.1,0.4,7.1,67.6,141.1,113.9,271,38.8,0,1.6,657.5,11.9,11.6,593.6,40.4,19.1033404,77.24397107
Matathwada,1951,0.4,0,6.2,10.6,11.2,159.5,271,101.3,89.3,78.4,3.5,0,731.4,0.4,28,621.1,81.9,19.1033404,77.24397107
Matathwada,1952,0.2,18.8,0,3.3,21.7,95.4,144.6,87.2,136.1,36.4,0,2.3,546,19,25,463.3,38.7,19.1033404,77.24397107
Matathwada,1953,0.3,0,0.3,15.2,0.4,200.4,217.9,160.6,208,88.1,0,0,891.2,0.3,15.9,786.9,88.1,19.1033404,77.24397107
Matathwada,1954,0.4,0,15.5,5.6,5.2,181,276,138.8,255.6,11.9,0,9.7,899.7,0.4,26.3,851.4,21.6,19.1033404,77.24397107
Matathwada,1955,6.5,0,2.4,3.4,12.2,229.8,213.2,364.7,208.6,109.3,1.2,0,1151.3,6.5,18,1016.3,110.5,19.1033404,77.24397107
Matathwada,1956,1.2,1.9,0.1,4.1,78.4,154.1,310,134.6,202.5,70.7,79.7,0,1037.3,3.1,82.6,801.2,150.4,19.1033404,77.24397107
Matathwada,1957,1.5,2.1,13.9,14.5,30,126.9,255.1,294.6,104.7,53.7,3.6,0,900.6,3.6,58.4,781.3,57.3,19.1033404,77.24397107
Matathwada,1958,0.1,0,4.4,25.2,12.7,92.2,264.4,456.1,79.8,41.2,48.3,0,1024.4,0.1,42.3,892.5,89.5,19.1033404,77.24397107
Matathwada,1959,1.5,0,0.1,9.5,13.2,173.6,188.3,200,246.3,99.8,17,1,950.3,1.5,22.8,808.2,117.8,19.1033404,77.24397107
Matathwada,1960,3.6,0,18.1,1,49.2,163.6,136.6,66.8,206.8,78.5,14,0.1,738.3,3.6,68.3,573.8,92.6,19.1033404,77.24397107
Matathwada,1961,0.9,0.1,5.6,6.7,35.7,170.8,253.7,143.4,97,238.1,5.2,1.8,959,1,48,664.9,245.1,19.1033404,77.24397107
Matathwada,1962,0.6,2.8,2.7,37.8,43.4,67.3,164.7,192.2,304.7,41.4,33.5,54.6,945.7,3.4,83.9,728.9,129.5,19.1033404,77.24397107
Matathwada,1963,0,6.2,15.5,7,13.5,228.4,172.2,380.4,82.8,92.4,2.7,0,1001.1,6.2,36,863.8,95.1,19.1033404,77.24397107
Matathwada,1964,0,0.2,5.1,1.5,1.3,120.3,246.5,150.7,219.9,20.1,15,0,780.6,0.2,7.9,737.4,35.1,19.1033404,77.24397107
Matathwada,1965,5.4,1.5,0,9.5,0.8,129.3,218.7,180,69.4,5.9,0.4,10.4,631.3,6.9,10.3,597.4,16.7,19.1033404,77.24397107
Matathwada,1966,18.9,0,10.4,10.5,45.8,63.1,228.6,85.9,191.6,13,65.9,13.5,747.2,18.9,66.7,569.2,92.4,19.1033404,77.24397107
Matathwada,1967,0,0,4,1,5.9,146,224,104.1,136,26.4,0,112.4,759.8,0,10.9,610.1,138.8,19.1033404,77.24397107
Matathwada,1968,5.8,23.8,32.2,11.3,0.7,94.2,219,63.6,210.6,24.5,26.3,0.3,712.3,29.6,44.2,587.4,51.1,19.1033404,77.24397107
Matathwada,1969,0,0,0.2,0.1,2.7,120.8,222.6,148.3,277.1,14.7,38.1,0,824.6,0,3,768.8,52.8,19.1033404,77.24397107
Matathwada,1970,8.4,0,2.8,7.5,30.2,215.1,103.9,344.9,178.1,19.9,0,0,910.8,8.4,40.5,842,19.9,19.1033404,77.24397107
Matathwada,1971,0.2,0.1,1.3,0.1,38.8,83.2,24.3,220,131.5,108.4,0,0,607.9,0.3,40.2,459,108.4,19.1033404,77.24397107
Matathwada,1972,0,0,0,0.1,3,115.1,41.9,85.3,65.3,4.2,28.4,3.8,347.1,0,3.1,307.6,36.4,19.1033404,77.24397107
Matathwada,1973,0,0.7,0,3.8,0.6,112.3,203.1,334.9,115.6,99.3,1,0,871.3,0.7,4.4,765.9,100.3,19.1033404,77.24397107
Matathwada,1974,0,0.4,0.4,2.9,36,98.4,100.7,123.2,154.4,134.1,0,0,650.5,0.4,39.3,476.7,134.1,19.1033404,77.24397107
Matathwada,1975,2.1,8.3,7.3,0,11.3,117.2,249,231.7,309.9,113.9,0.1,0,1050.8,10.4,18.6,907.8,114,19.1033404,77.24397107
Matathwada,1976,0,0.2,3.2,7.4,2.9,92.1,213,195.6,63,3.8,39.4,2.4,623,0.2,13.5,563.7,45.6,19.1033404,77.24397107
Matathwada,1977,0,1.5,6,4.6,5.4,126,155.4,149.3,116.8,66.4,129.9,6.5,767.8,1.5,16,547.5,202.8,19.1033404,77.24397107
Matathwada,1978,5.7,18.8,9.6,12,19.1,212.4,215,105.3,80.6,70.5,34.6,1.2,784.8,24.5,40.7,613.3,106.3,19.1033404,77.24397107
Matathwada,1979,3.4,11.8,5.6,1.4,18.1,125.5,163.1,132.9,236.5,17.7,90.6,0.8,807.4,15.2,25.1,658,109.1,19.1033404,77.24397107
Matathwada,1980,0.1,0,4.7,4.6,2.3,223,114.4,325.1,113.6,1.1,3.6,20.3,812.8,0.1,11.6,776.1,25,19.1033404,77.24397107
Matathwada,1981,27.3,0.7,11,1.6,12.7,100.5,122.3,127.3,285.1,68.7,11.2,18.3,786.7,28,25.3,635.2,98.2,19.1033404,77.24397107
Matathwada,1982,10,0.6,5.1,7.8,15.9,99.6,170.1,84.8,172,43.6,27,0,636.5,10.6,28.8,526.5,70.6,19.1033404,77.24397107
Matathwada,1983,0,0,0.3,0.3,6,96.8,231.9,315.4,422.3,106.8,1,6.9,1187.7,0,6.6,1066.4,114.7,19.1033404,77.24397107
Matathwada,1984,3.1,9.5,0.4,0.8,0,75.7,168.5,59.8,120.1,106.2,5.4,3.3,552.8,12.6,1.2,424.1,114.9,19.1033404,77.24397107
Matathwada,1985,7.1,0,6.2,10.5,7.6,160.8,148.9,63.9,82.3,86,0.7,1.5,575.5,7.1,24.3,455.9,88.2,19.1033404,77.24397107
Matathwada,1986,9.6,9.6,1.3,2.7,7.3,132.3,140.2,127.1,104,6.6,10.1,12.1,562.9,19.2,11.3,503.6,28.8,19.1033404,77.24397107
Matathwada,1987,7.9,3.6,0.8,2,20.9,155.1,132,220.2,46.1,145.7,41.1,10.8,786.2,11.5,23.7,553.4,197.6,19.1033404,77.24397107
Matathwada,1988,0,0,0.2,7.2,4.2,169.7,301.6,245.4,411.9,18.5,7.7,3.5,1169.9,0,11.6,1128.6,29.7,19.1033404,77.24397107
Matathwada,1989,0,0,42.3,2.8,6.4,237.9,336.2,245.7,170,17.6,0.5,9,1068.4,0,51.5,989.8,27.1,19.1033404,77.24397107
Matathwada,1990,2.9,0,0,0,142.1,221,131,365.9,104.2,223.1,5,2.9,1198.1,2.9,142.1,822.1,231,19.1033404,77.24397107
Matathwada,1991,0.3,0.4,0.4,9.8,9.4,250.1,222.4,49.7,38.5,9.1,10.9,0,601,0.7,19.6,560.7,20,19.1033404,77.24397107
Matathwada,1992,0,0,0,3.5,6.7,217.9,79.4,203,140.4,52.2,23.5,0,726.6,0,10.2,640.7,75.7,19.1033404,77.24397107
Matathwada,1993,0,1,5.6,1.7,9.1,87.5,216.3,166.2,121.8,136.3,5.8,55.1,806.4,1,16.4,591.8,197.2,19.1033404,77.24397107
Matathwada,1994,3.2,0.1,0,14.9,14.3,110.6,117.1,162.8,63.4,64.3,32.9,0,583.6,3.3,29.2,453.9,97.2,19.1033404,77.24397107
Matathwada,1995,46.9,0.2,23.6,11.4,17.6,135.5,186,96,137.9,153.2,1.2,0,809.5,47.1,52.6,555.4,154.4,19.1033404,77.24397107
Matathwada,1996,0.1,0,0.3,10.6,1.6,55.8,186.6,246.4,229.8,118.9,4.4,0.4,854.9,0.1,12.5,718.6,123.7,19.1033404,77.24397107
Matathwada,1997,7.7,1.1,8.3,14.3,8,75.8,131,121.1,163.4,106.8,98.6,54.3,790.4,8.8,30.6,491.3,259.7,19.1033404,77.24397107
Matathwada,1998,0.1,0.3,3.4,1.7,8.7,189.8,255.1,249.9,235.8,150.3,31.6,0,1126.7,0.4,13.8,930.6,181.9,19.1033404,77.24397107
Matathwada,1999,0,6,0.1,0,17.9,141.5,133.3,133.4,215.4,119.9,0,0,767.5,6,18,623.6,119.9,19.1033404,77.24397107
Matathwada,2000,0.4,3.8,0.5,0.4,16.3,188.3,157.3,239.5,44.8,30.8,0.7,1.7,684.5,4.2,17.2,629.9,33.2,19.1033404,77.24397107
